epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8759.5,1.41221,1.2271,1.32843,0.88453,0.43026,0.41194,0.25095,1.25386,1.58675,1.1202,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8919.19,1.41211,1.22379,1.32434,0.88539,0.43487,0.41608,0.25471,1.25906,1.53974,1.11985,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9079.45,1.40803,1.2139,1.31959,0.88295,0.44719,0.42431,0.26029,1.24728,1.50086,1.11371,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9239.68,1.40183,1.2079,1.31634,0.87638,0.44874,0.4294,0.26295,1.25373,1.539,1.11949,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9400.22,1.3961,1.1927,1.31228,0.88067,0.45176,0.4347,0.26481,1.2473,1.52024,1.11532,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9561.61,1.38758,1.18576,1.30284,0.87913,0.45929,0.43972,0.26703,1.25132,1.51169,1.11562,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9721.09,1.38761,1.18887,1.3075,0.87741,0.44844,0.43007,0.26308,1.24375,1.48631,1.11299,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9881.77,1.36387,1.17025,1.29551,0.88021,0.45612,0.43479,0.26666,1.24157,1.45583,1.11199,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10043.4,1.37056,1.1722,1.2981,0.87261,0.46158,0.44039,0.27167,1.24201,1.43533,1.11323,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10227.7,1.40758,1.14714,1.32491,0.88687,0.45812,0.44121,0.26861,1.24539,1.36467,1.11321,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10375.1,1.39152,1.10752,1.31578,0.88282,0.45887,0.44179,0.26818,1.24616,1.38267,1.11529,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,10521.2,1.38624,1.10673,1.31042,0.88723,0.45932,0.436,0.26789,1.2482,1.34768,1.11576,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,10669.1,1.38225,1.09561,1.31238,0.88503,0.46725,0.446,0.2718,1.24779,1.34257,1.11727,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,10815.8,1.37105,1.0772,1.29842,0.88552,0.47115,0.45537,0.27488,1.24442,1.33844,1.11574,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,10963.1,1.37217,1.06935,1.2993,0.87926,0.47591,0.45467,0.27672,1.24604,1.32721,1.11679,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,11109.3,1.34884,1.04855,1.2828,0.87722,0.4777,0.45913,0.27805,1.24283,1.33445,1.11461,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,11255,1.35052,1.05068,1.27839,0.87299,0.48215,0.4585,0.28008,1.24153,1.32579,1.11437,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,11403.5,1.34108,1.03865,1.27948,0.87404,0.48278,0.45823,0.28021,1.24156,1.31324,1.1136,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,11555.1,1.33524,1.03161,1.27385,0.87481,0.48827,0.46713,0.28336,1.24279,1.31086,1.11428,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
