epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,18219.9,1.26208,1.13599,1.39836,0.90259,0.54889,0.53163,0.33651,1.34791,1.2726,1.31495,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,18850.1,1.25157,1.12793,1.38912,0.90078,0.54977,0.53177,0.33781,1.34586,1.25619,1.31342,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,19480,1.24239,1.10853,1.3841,0.90174,0.55065,0.53214,0.33939,1.34324,1.23899,1.31103,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,20110,1.24106,1.10636,1.38209,0.90048,0.55208,0.53224,0.34109,1.3422,1.22443,1.30966,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,20752.6,1.23301,1.08869,1.3724,0.90004,0.55325,0.53668,0.34245,1.34052,1.2108,1.30809,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,21386.5,1.22462,1.08199,1.37189,0.90027,0.55434,0.5369,0.34383,1.33807,1.19862,1.30588,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,22024.7,1.21421,1.05921,1.36064,0.90176,0.55655,0.53687,0.34458,1.33663,1.18956,1.30476,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,22655.3,1.20446,1.04769,1.35644,0.89956,0.55873,0.54155,0.34639,1.33512,1.17898,1.30358,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,23287.5,1.19766,1.03796,1.34795,0.89904,0.56088,0.54162,0.34789,1.33334,1.16963,1.3021,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,23925.4,1.18448,1.02242,1.34183,0.89879,0.56286,0.54638,0.34863,1.33167,1.15695,1.30107,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,24560.7,1.18268,1.01584,1.33726,0.8986,0.56313,0.54189,0.34871,1.32933,1.14521,1.29892,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,25203.2,1.16576,0.99484,1.32743,0.89961,0.56391,0.54662,0.35118,1.32789,1.13365,1.29764,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
