epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,693.686,1.40127,1.42082,1.5258,0.89402,0.40626,0.39034,0.23711,1.5041,3.48886,1.42602,0.00999438,0.00333146,0.00999438,0.00333146,0.00999438,0.00333146,0.00999438,0.00333146
2,1325.63,1.34151,1.29985,1.46812,0.87593,0.43599,0.41663,0.24791,1.50231,3.16428,1.40963,0.0195985,0.00653283,0.0195985,0.00653283,0.0195985,0.00653283,0.0195985,0.00653283
3,1948.38,1.4103,1.4169,1.52345,0.8876,0.36147,0.34541,0.19801,1.6005,3.701,1.50625,0.0288066,0.0096022,0.0288066,0.0096022,0.0288066,0.0096022,0.0288066,0.0096022
4,2577.86,1.49527,1.58253,1.59588,0.8824,0.36302,0.34247,0.1989,1.55566,2.35588,1.48584,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3196.03,1.49156,1.56584,1.58698,0.89747,0.37584,0.36364,0.20456,1.54076,2.3172,1.45879,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3820.46,1.47143,1.52714,1.57321,0.90114,0.40036,0.38534,0.22825,1.49483,1.91042,1.42563,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4440.24,1.46155,1.49174,1.56575,0.89421,0.43164,0.41442,0.24638,1.47783,2.21307,1.4211,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5057.99,1.44088,1.46364,1.55252,0.90489,0.43002,0.41501,0.24537,1.46747,2.01592,1.41251,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5675.98,1.42754,1.43581,1.54141,0.89867,0.45749,0.43893,0.2654,1.46663,1.7902,1.40168,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6303.92,1.42233,1.42553,1.5359,0.90714,0.45107,0.43491,0.26785,1.43518,1.68647,1.39111,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6923.41,1.41432,1.40237,1.52389,0.90886,0.45554,0.44139,0.27386,1.41727,1.68812,1.36954,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7550.46,1.39593,1.37943,1.51394,0.90705,0.47539,0.46052,0.28652,1.41036,1.59658,1.36769,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,8171.64,1.38828,1.36229,1.50607,0.90324,0.4841,0.46933,0.29284,1.39749,1.52243,1.35626,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8792.09,1.38078,1.3467,1.49882,0.90965,0.49354,0.47952,0.29821,1.39393,1.48598,1.35342,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,9417.05,1.37044,1.32912,1.48906,0.90486,0.50539,0.48897,0.30506,1.38447,1.49885,1.346,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10038.6,1.3603,1.31291,1.47747,0.90298,0.5025,0.48854,0.3057,1.37275,1.48108,1.33432,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,10669.1,1.35548,1.29505,1.477,0.90118,0.50748,0.48839,0.30778,1.37315,1.44647,1.33225,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,11292.6,1.34432,1.28321,1.46999,0.89989,0.51334,0.49756,0.31237,1.37183,1.4362,1.33155,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,11917.3,1.34176,1.27497,1.46543,0.90121,0.51829,0.50223,0.31589,1.36972,1.3866,1.33056,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,12540.8,1.32467,1.24066,1.45017,0.90208,0.52241,0.50274,0.31787,1.36792,1.36241,1.32963,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,13171.4,1.32467,1.24395,1.45258,0.9023,0.52626,0.50734,0.32148,1.36565,1.35891,1.32832,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,13798.3,1.31622,1.22548,1.44221,0.90214,0.53055,0.51204,0.32318,1.36207,1.34,1.32586,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,14428.9,1.30162,1.20898,1.43357,0.90144,0.53369,0.51662,0.32523,1.35838,1.33195,1.32364,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,15053,1.29343,1.19611,1.42498,0.90204,0.53699,0.52135,0.32744,1.35806,1.32796,1.32339,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,15679.7,1.28835,1.19127,1.42458,0.90093,0.53913,0.52164,0.33017,1.35661,1.32216,1.32273,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,16310.4,1.28286,1.17364,1.41554,0.90269,0.5411,0.52186,0.33115,1.35366,1.3096,1.32083,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,16958.8,1.27563,1.15454,1.40748,0.90216,0.54349,0.52644,0.33283,1.35223,1.30155,1.31926,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,17585.7,1.26638,1.15422,1.40438,0.90238,0.54686,0.52684,0.33532,1.35074,1.28863,1.31783,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
