epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,790.327,1.07003,1.71227,1.25857,0.85788,0.60972,0.58371,0.37136,1.32549,2.0098,1.31575,0.00999518,0.00333173,0.00999518,0.00333173,0.00999518,0.00333173,0.00999518,0.00333173
2,1484.53,1.12095,1.84816,1.28814,0.85746,0.58147,0.55229,0.33901,1.3766,2.82535,1.32991,0.0195993,0.00653309,0.0195993,0.00653309,0.0195993,0.00653309,0.0195993,0.00653309
3,2168.22,1.2335,2.17743,1.36355,0.86313,0.50868,0.48768,0.29106,1.46114,3.91969,1.37706,0.0288074,0.00960246,0.0288074,0.00960246,0.0288074,0.00960246,0.0288074,0.00960246
4,2830.35,1.32965,2.49398,1.43526,0.89122,0.46203,0.44778,0.26671,1.45991,2.91238,1.39013,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3493.86,1.34362,2.53233,1.44777,0.89265,0.45815,0.43621,0.26405,1.45145,2.64251,1.37551,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4156.54,1.34467,2.51257,1.44942,0.87743,0.50093,0.47744,0.28626,1.44602,2.71698,1.38213,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4818.37,1.34457,2.50511,1.44794,0.88818,0.50772,0.48755,0.29145,1.43941,2.7464,1.36803,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5484.27,1.34125,2.47936,1.4471,0.88427,0.50833,0.48576,0.29805,1.41636,3.15881,1.34758,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6146.42,1.33719,2.45555,1.44619,0.88652,0.51178,0.49036,0.30335,1.3972,2.72752,1.3431,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6808.61,1.3335,2.45265,1.44224,0.89373,0.52749,0.50355,0.30898,1.40181,2.55211,1.33926,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,7470.6,1.32557,2.42834,1.43727,0.89795,0.52899,0.50545,0.31716,1.37587,2.50494,1.32958,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,8132.61,1.32328,2.41097,1.43209,0.89727,0.53676,0.51717,0.32721,1.37052,2.38964,1.32254,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,8795.82,1.31516,2.38449,1.42847,0.89296,0.55124,0.52923,0.33411,1.35831,2.47609,1.31669,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,9457.09,1.31151,2.35046,1.42349,0.89482,0.55173,0.53499,0.33775,1.34804,2.4641,1.31061,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,10119.4,1.30367,2.34007,1.42212,0.89568,0.56008,0.54154,0.34259,1.3526,2.39798,1.31388,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10781.2,1.30035,2.32002,1.41884,0.89213,0.56483,0.54082,0.34436,1.34438,2.31706,1.30815,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,11444.4,1.29251,2.29705,1.41145,0.89153,0.56931,0.5498,0.34756,1.33456,2.35213,1.29691,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,12107.2,1.2863,2.27691,1.40857,0.88933,0.57446,0.55428,0.35174,1.32995,2.37829,1.29131,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,12773.2,1.28407,2.27904,1.40219,0.88405,0.57725,0.55348,0.35456,1.32738,2.4009,1.29096,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,13436.8,1.27563,2.23378,1.39594,0.88642,0.57888,0.5584,0.35553,1.32649,2.38235,1.29203,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,14099.8,1.26948,2.21885,1.38929,0.885,0.58026,0.55825,0.3562,1.32569,2.37303,1.29186,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,14762.9,1.26368,2.1958,1.38702,0.88553,0.58449,0.5632,0.35789,1.32505,2.34713,1.2926,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,15424,1.2564,2.17017,1.38275,0.88328,0.58715,0.56321,0.36007,1.3248,2.33555,1.29356,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,16102.2,1.25199,2.16229,1.37499,0.88371,0.58846,0.56767,0.36108,1.32408,2.30661,1.29295,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,16765.1,1.24581,2.13354,1.37034,0.88153,0.59037,0.56729,0.36239,1.32286,2.28638,1.2929,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,17429.8,1.24226,2.13082,1.36908,0.88217,0.59246,0.57202,0.36325,1.32208,2.26698,1.29285,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,18094.3,1.23723,2.09477,1.36309,0.88038,0.59381,0.5719,0.36328,1.32089,2.24594,1.29217,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,18758.7,1.23294,2.08496,1.3622,0.88023,0.59557,0.57202,0.36459,1.31961,2.22632,1.29059,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,19421.6,1.22348,2.06353,1.35591,0.88155,0.59663,0.57192,0.36454,1.3178,2.20817,1.28908,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,20088.5,1.21038,2.02811,1.34617,0.8813,0.59742,0.57202,0.36534,1.31609,2.19345,1.28801,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,20752.5,1.20802,2.02412,1.34508,0.88128,0.59877,0.57649,0.36699,1.3156,2.19097,1.28765,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,21415.9,1.20474,2.00867,1.34344,0.88177,0.59704,0.57669,0.36789,1.31432,2.18316,1.28726,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
