epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,22999.6,1.1856,1.01867,1.33279,0.89097,0.58029,0.56032,0.36175,1.30522,1.08979,1.28312,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,23734.1,1.17521,1.00848,1.32585,0.8915,0.58035,0.56054,0.36238,1.30521,1.08183,1.28282,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,24460.2,1.16616,0.98896,1.31887,0.89243,0.57982,0.56062,0.36288,1.30439,1.07305,1.28144,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,25184,1.16488,0.97856,1.31155,0.89354,0.58071,0.56075,0.36308,1.30409,1.06344,1.28094,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,25908.6,1.14933,0.96631,1.30799,0.89308,0.58058,0.56086,0.36327,1.30342,1.05523,1.28061,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,26634.8,1.14907,0.96182,1.30531,0.89416,0.5808,0.56117,0.36343,1.30348,1.05011,1.28046,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,27373.6,1.13415,0.94218,1.29663,0.89481,0.58151,0.56126,0.36401,1.30301,1.03959,1.28032,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,28109.7,1.13134,0.93767,1.29476,0.89595,0.58295,0.56128,0.3651,1.30253,1.02957,1.28006,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,28837.6,1.11806,0.92001,1.28621,0.89665,0.58203,0.5614,0.36534,1.30187,1.02099,1.2794,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,29488,1.00046,0.63717,1.20862,0.89619,0.58093,0.56146,0.36515,1.30147,1.00844,1.2794,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,30107.9,0.97839,0.60848,1.19119,0.89811,0.57989,0.56155,0.3649,1.30117,0.99775,1.2793,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,30731.1,0.96637,0.59433,1.18346,0.89824,0.5793,0.56169,0.36552,1.30048,0.98873,1.27934,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,31352.2,0.9487,0.57746,1.17252,0.8987,0.58039,0.56182,0.36565,1.30009,0.97835,1.27945,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,31978,0.93463,0.56398,1.16114,0.89927,0.58097,0.56173,0.36616,1.29954,0.96797,1.27917,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,32582.7,0.91879,0.55015,1.15138,0.89807,0.58067,0.56148,0.36662,1.29895,0.95868,1.27913,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,33191.9,0.90573,0.53375,1.14074,0.89865,0.58203,0.56154,0.36738,1.29785,0.95033,1.27926,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,33800,0.89223,0.52483,1.13379,0.89737,0.58191,0.56604,0.36882,1.29758,0.94372,1.27966,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,34408.4,0.87753,0.51096,1.12437,0.89697,0.58279,0.56607,0.36931,1.2971,0.93929,1.28011,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,35018.3,0.86713,0.50067,1.11685,0.89597,0.58478,0.56597,0.37062,1.29706,0.93566,1.28098,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
